time,species,speed,perc,,,,,,,,,,
0.83,Spathiphyllum Chico,fast,65.61,,,,,,,,,,
0.91,Spathiphyllum Chico,fast,67.81,,,,,,,,,,
1,Spathiphyllum Chico,fast,70.18,,,,,,,,,,
1.08,Spathiphyllum Chico,fast,72.54,,,,,,,,,,
1.16,Spathiphyllum Chico,fast,75.7,,,,,,,,,,
1.25,Spathiphyllum Chico,fast,79.21,,,,,,,,,,
1.33,Spathiphyllum Chico,fast,82.46,,,,,,,,,,
1.41,Spathiphyllum Chico,fast,84.39,,,,,,,,,,
1.5,Spathiphyllum Chico,fast,86.49,,,,,,,,,,
1.58,Spathiphyllum Chico,fast,87.89,,,,,,,,,,
1.67,Spathiphyllum Chico,fast,89.39,,,,,,,,,,
1.75,Spathiphyllum Chico,fast,90.61,,,,,,,,,,
1.83,Spathiphyllum Chico,fast,90.96,,,,,,,,,,
1.92,Spathiphyllum Chico,fast,91.67,,,,,,,,,,
2,Spathiphyllum Chico,fast,93.6,,,,,,,,,,
2.08,Spathiphyllum Chico,fast,94.04,,,,,,,,,,
2.16,Spathiphyllum Chico,fast,94.56,,,,,,,,,,
2.25,Spathiphyllum Chico,fast,95.53,,,,,,,,,,
2.33,Spathiphyllum Chico,fast,96.14,,,,,,,,,,
2.41,Spathiphyllum Chico,fast,97.54,,,,,,,,,,
2.5,Spathiphyllum Chico,fast,97.19,,,,,,,,,,
2.58,Spathiphyllum Chico,fast,97.98,,,,,,,,,,
2.66,Spathiphyllum Chico,fast,98.33,,,,,,,,,,
2.75,Spathiphyllum Chico,fast,99.39,,,,,,,,,,
2.83,Spathiphyllum Chico,fast,99.47,,,,,,,,,,
2.91,Spathiphyllum Chico,fast,99.91,,,,,,,,,,
3,Spathiphyllum Chico,fast,100,,,,,,,,,,
0,Philodendron hederaceum &Philodendron erubescens,fast,0,,,,,,,,,,
0.083,Philodendron hederaceum &Philodendron erubescens,fast,53.8,,,,,,,,,,
0.17,Philodendron hederaceum &Philodendron erubescens,fast,79.35,,,,,,,,,,
0.25,Philodendron hederaceum &Philodendron erubescens,fast,85.22,,,,,,,,,,
0.33,Philodendron hederaceum &Philodendron erubescens,fast,86.63,,,,,,,,,,
0.42,Philodendron hederaceum &Philodendron erubescens,fast,88.91,,,,,,,,,,
0.5,Philodendron hederaceum &Philodendron erubescens,fast,89.24,,,,,,,,,,
0.58,Philodendron hederaceum &Philodendron erubescens,fast,91.2,,,,,,,,,,
0.66,Philodendron hederaceum &Philodendron erubescens,fast,92.17,,,,,,,,,,
0.75,Philodendron hederaceum &Philodendron erubescens,fast,93.37,,,,,,,,,,
0.83,Philodendron hederaceum &Philodendron erubescens,fast,93.91,,,,,,,,,,
0.91,Philodendron hederaceum &Philodendron erubescens,fast,94.57,,,,,,,,,,
1,Philodendron hederaceum &Philodendron erubescens,fast,94.24,,,,,,,,,,
1.08,Philodendron hederaceum &Philodendron erubescens,fast,94.67,,,,,,,,,,
1.16,Philodendron hederaceum &Philodendron erubescens,fast,95.43,,,,,,,,,,
1.25,Philodendron hederaceum &Philodendron erubescens,fast,96.3,,,,,,,,,,
1.33,Philodendron hederaceum &Philodendron erubescens,fast,96.41,,,,,,,,,,
1.41,Philodendron hederaceum &Philodendron erubescens,fast,96.63,,,,,,,,,,
1.5,Philodendron hederaceum &Philodendron erubescens,fast,96.63,,,,,,,,,,
1.58,Philodendron hederaceum &Philodendron erubescens,fast,96.74,,,,,,,,,,
1.67,Philodendron hederaceum &Philodendron erubescens,fast,97.07,,,,,,,,,,
1.75,Philodendron hederaceum &Philodendron erubescens,fast,97.28,,,,,,,,,,
1.83,Philodendron hederaceum &Philodendron erubescens,fast,97.28,,,,,,,,,,
1.92,Philodendron hederaceum &Philodendron erubescens,fast,98.15,,,,,,,,,,
2,Philodendron hederaceum &Philodendron erubescens,fast,98.04,,,,,,,,,,
2.08,Philodendron hederaceum &Philodendron erubescens,fast,98.26,,,,,,,,,,
2.16,Philodendron hederaceum &Philodendron erubescens,fast,98.59,,,,,,,,,,
2.25,Philodendron hederaceum &Philodendron erubescens,fast,98.48,,,,,,,,,,
2.33,Philodendron hederaceum &Philodendron erubescens,fast,98.59,,,,,,,,,,
2.41,Philodendron hederaceum &Philodendron erubescens,fast,99.24,,,,,,,,,,
2.5,Philodendron hederaceum &Philodendron erubescens,fast,99.35,,,,,,,,,,
2.58,Philodendron hederaceum &Philodendron erubescens,fast,100,,,,,,,,,,
2.66,Philodendron hederaceum &Philodendron erubescens,fast,99.46,,,,,,,,,,
2.75,Philodendron hederaceum &Philodendron erubescens,fast,99.89,,,,,,,,,,
2.83,Philodendron hederaceum &Philodendron erubescens,fast,99.67,,,,,,,,,,
2.91,Philodendron hederaceum &Philodendron erubescens,fast,99.78,,,,,,,,,,
3,Philodendron hederaceum &Philodendron erubescens,fast,99.89,,,,,,,,,,
0,Philodendron hederaceum &Philodendron erubescens,fast,0.78,,,,,,,,,,
0.083,Philodendron hederaceum &Philodendron erubescens,fast,12.25,,,,,,,,,,
0.17,Philodendron hederaceum &Philodendron erubescens,fast,25.89,,,,,,,,,,
0.25,Philodendron hederaceum &Philodendron erubescens,fast,38.91,,,,,,,,,,
0.33,Philodendron hederaceum &Philodendron erubescens,fast,49.3,,,,,,,,,,
0.42,Philodendron hederaceum &Philodendron erubescens,fast,56.12,,,,,,,,,,
0.5,Philodendron hederaceum &Philodendron erubescens,fast,58.91,,,,,,,,,,
0.58,Philodendron hederaceum &Philodendron erubescens,fast,61.4,,,,,,,,,,
0.66,Philodendron hederaceum &Philodendron erubescens,fast,62.95,,,,,,,,,,
0.75,Philodendron hederaceum &Philodendron erubescens,fast,65.43,,,,,,,,,,
0.83,Philodendron hederaceum &Philodendron erubescens,fast,68.37,,,,,,,,,,
0.91,Philodendron hederaceum &Philodendron erubescens,fast,70.08,,,,,,,,,,
1,Philodendron hederaceum &Philodendron erubescens,fast,73.64,,,,,,,,,,
1.08,Philodendron hederaceum &Philodendron erubescens,fast,75.35,,,,,,,,,,
1.16,Philodendron hederaceum &Philodendron erubescens,fast,77.36,,,,,,,,,,
1.25,Philodendron hederaceum &Philodendron erubescens,fast,78.29,,,,,,,,,,
1.33,Philodendron hederaceum &Philodendron erubescens,fast,80,,,,,,,,,,
1.41,Philodendron hederaceum &Philodendron erubescens,fast,81.71,,,,,,,,,,
1.5,Philodendron hederaceum &Philodendron erubescens,fast,83.26,,,,,,,,,,
1.58,Philodendron hederaceum &Philodendron erubescens,fast,85.12,,,,,,,,,,
1.67,Philodendron hederaceum &Philodendron erubescens,fast,86.98,,,,,,,,,,
1.75,Philodendron hederaceum &Philodendron erubescens,fast,87.75,,,,,,,,,,
1.83,Philodendron hederaceum &Philodendron erubescens,fast,89.3,,,,,,,,,,
1.92,Philodendron hederaceum &Philodendron erubescens,fast,90.08,,,,,,,,,,
2,Philodendron hederaceum &Philodendron erubescens,fast,91.63,,,,,,,,,,
2.08,Philodendron hederaceum &Philodendron erubescens,fast,92.25,,,,,,,,,,
2.16,Philodendron hederaceum &Philodendron erubescens,fast,92.25,,,,,,,,,,
2.25,Philodendron hederaceum &Philodendron erubescens,fast,93.64,,,,,,,,,,
2.33,Philodendron hederaceum &Philodendron erubescens,fast,94.26,,,,,,,,,,
2.41,Philodendron hederaceum &Philodendron erubescens,fast,95.04,,,,,,,,,,
2.5,Philodendron hederaceum &Philodendron erubescens,fast,95.97,,,,,,,,,,
2.58,Philodendron hederaceum &Philodendron erubescens,fast,96.9,,,,,,,,,,
2.66,Philodendron hederaceum &Philodendron erubescens,fast,97.83,,,,,,,,,,
2.75,Philodendron hederaceum &Philodendron erubescens,fast,97.83,,,,,,,,,,
2.83,Philodendron hederaceum &Philodendron erubescens,fast,98.6,,,,,,,,,,
2.91,Philodendron hederaceum &Philodendron erubescens,fast,98.91,,,,,,,,,,
3,Philodendron hederaceum &Philodendron erubescens,fast,100,,,,,,,,,,
0,Philodendron hederaceum &Philodendron erubescens,fast,1.73,,,,,,,,,,
0.083,Philodendron hederaceum &Philodendron erubescens,fast,0,,,,,,,,,,
0.17,Philodendron hederaceum &Philodendron erubescens,fast,10.82,,,,,,,,,,
0.25,Philodendron hederaceum &Philodendron erubescens,fast,64.07,,,,,,,,,,
0.33,Philodendron hederaceum &Philodendron erubescens,fast,78.5,,,,,,,,,,
0.42,Philodendron hederaceum &Philodendron erubescens,fast,89.9,,,,,,,,,,
0.5,Philodendron hederaceum &Philodendron erubescens,fast,93.07,,,,,,,,,,
0.58,Philodendron hederaceum &Philodendron erubescens,fast,97.26,,,,,,,,,,
0.66,Philodendron hederaceum &Philodendron erubescens,fast,100,,,,,,,,,,
0.75,Philodendron hederaceum &Philodendron erubescens,fast,99.42,,,,,,,,,,
0.83,Philodendron hederaceum &Philodendron erubescens,fast,96.83,,,,,,,,,,
0.91,Philodendron hederaceum &Philodendron erubescens,fast,96.54,,,,,,,,,,
1,Philodendron hederaceum &Philodendron erubescens,fast,97.84,,,,,,,,,,
1.08,Philodendron hederaceum &Philodendron erubescens,fast,93.07,,,,,,,,,,
1.16,Philodendron hederaceum &Philodendron erubescens,fast,92.35,,,,,,,,,,
1.25,Philodendron hederaceum &Philodendron erubescens,fast,93.94,,,,,,,,,,
1.33,Philodendron hederaceum &Philodendron erubescens,fast,95.53,,,,,,,,,,
1.41,Philodendron hederaceum &Philodendron erubescens,fast,96.39,,,,,,,,,,
1.5,Philodendron hederaceum &Philodendron erubescens,fast,95.82,,,,,,,,,,
1.58,Philodendron hederaceum &Philodendron erubescens,fast,95.53,,,,,,,,,,
1.67,Philodendron hederaceum &Philodendron erubescens,fast,97.69,,,,,,,,,,
1.75,Philodendron hederaceum &Philodendron erubescens,fast,97.69,,,,,,,,,,
1.83,Philodendron hederaceum &Philodendron erubescens,fast,97.11,,,,,,,,,,
1.92,Philodendron hederaceum &Philodendron erubescens,fast,97.4,,,,,,,,,,
2,Philodendron hederaceum &Philodendron erubescens,fast,96.97,,,,,,,,,,
2.08,Philodendron hederaceum &Philodendron erubescens,fast,98.41,,,,,,,,,,
2.16,Philodendron hederaceum &Philodendron erubescens,fast,97.69,,,,,,,,,,
2.25,Philodendron hederaceum &Philodendron erubescens,fast,96.68,,,,,,,,,,
2.33,Philodendron hederaceum &Philodendron erubescens,fast,96.54,,,,,,,,,,
2.41,Philodendron hederaceum &Philodendron erubescens,fast,96.97,,,,,,,,,,
2.5,Philodendron hederaceum &Philodendron erubescens,fast,96.68,,,,,,,,,,
2.58,Philodendron hederaceum &Philodendron erubescens,fast,96.39,,,,,,,,,,
2.66,Philodendron hederaceum &Philodendron erubescens,fast,96.83,,,,,,,,,,
2.75,Philodendron hederaceum &Philodendron erubescens,fast,97.26,,,,,,,,,,
2.83,Philodendron hederaceum &Philodendron erubescens,fast,97.69,,,,,,,,,,
2.91,Philodendron hederaceum &Philodendron erubescens,fast,98.41,,,,,,,,,,
3,Philodendron hederaceum &Philodendron erubescens,fast,100,,,,,,,,,,
0,Peperomia obtusifolia,fast,0,,,,,,,,,,
0.083,Peperomia obtusifolia,fast,10.04,,,,,,,,,,
0.17,Peperomia obtusifolia,fast,21.2,,,,,,,,,,
0.25,Peperomia obtusifolia,fast,25.24,,,,,,,,,,
0.33,Peperomia obtusifolia,fast,29.99,,,,,,,,,,
0.42,Peperomia obtusifolia,fast,33.89,,,,,,,,,,
0.5,Peperomia obtusifolia,fast,38.21,,,,,,,,,,
0.58,Peperomia obtusifolia,fast,44.63,,,,,,,,,,
0.66,Peperomia obtusifolia,fast,54.81,,,,,,,,,,
0.75,Peperomia obtusifolia,fast,62.06,,,,,,,,,,
0.83,Peperomia obtusifolia,fast,65.27,,,,,,,,,,
0.91,Peperomia obtusifolia,fast,66.67,,,,,,,,,,
1,Peperomia obtusifolia,fast,68.62,,,,,,,,,,
1.08,Peperomia obtusifolia,fast,69.46,,,,,,,,,,
1.16,Peperomia obtusifolia,fast,78.38,,,,,,,,,,
1.25,Peperomia obtusifolia,fast,78.52,,,,,,,,,,
1.33,Peperomia obtusifolia,fast,78.94,,,,,,,,,,
1.41,Peperomia obtusifolia,fast,79.92,,,,,,,,,,
1.5,Peperomia obtusifolia,fast,80.61,,,,,,,,,,
1.58,Peperomia obtusifolia,fast,81.45,,,,,,,,,,
1.67,Peperomia obtusifolia,fast,83.4,,,,,,,,,,
1.75,Peperomia obtusifolia,fast,83.82,,,,,,,,,,
1.83,Peperomia obtusifolia,fast,85.22,,,,,,,,,,
1.92,Peperomia obtusifolia,fast,87.17,,,,,,,,,,
2,Peperomia obtusifolia,fast,88.42,,,,,,,,,,
2.08,Peperomia obtusifolia,fast,89.82,,,,,,,,,,
2.16,Peperomia obtusifolia,fast,91.35,,,,,,,,,,
2.25,Peperomia obtusifolia,fast,92.61,,,,,,,,,,
2.33,Peperomia obtusifolia,fast,93.72,,,,,,,,,,
2.41,Peperomia obtusifolia,fast,94.98,,,,,,,,,,
2.5,Peperomia obtusifolia,fast,95.68,,,,,,,,,,
2.58,Peperomia obtusifolia,fast,96.37,,,,,,,,,,
2.66,Peperomia obtusifolia,fast,97.49,,,,,,,,,,
2.75,Peperomia obtusifolia,fast,98.33,,,,,,,,,,
2.83,Peperomia obtusifolia,fast,98.47,,,,,,,,,,
2.91,Peperomia obtusifolia,fast,99.58,,,,,,,,,,
3,Peperomia obtusifolia,fast,100,,,,,,,,,,
0,Peperomia obtusifolia,fast,0,,,,,,,,,,
0.083,Peperomia obtusifolia,fast,0.38,,,,,,,,,,
0.17,Peperomia obtusifolia,fast,81.67,,,,,,,,,,
0.25,Peperomia obtusifolia,fast,93.19,,,,,,,,,,
0.33,Peperomia obtusifolia,fast,93.76,,,,,,,,,,
0.42,Peperomia obtusifolia,fast,94.24,,,,,,,,,,
0.5,Peperomia obtusifolia,fast,94.63,,,,,,,,,,
0.58,Peperomia obtusifolia,fast,95.11,,,,,,,,,,
0.66,Peperomia obtusifolia,fast,95.59,,,,,,,,,,
0.75,Peperomia obtusifolia,fast,96.16,,,,,,,,,,
0.83,Peperomia obtusifolia,fast,96.64,,,,,,,,,,
0.91,Peperomia obtusifolia,fast,96.83,,,,,,,,,,
1,Peperomia obtusifolia,fast,97.5,,,,,,,,,,
1.08,Peperomia obtusifolia,fast,97.5,,,,,,,,,,
1.16,Peperomia obtusifolia,fast,97.89,,,,,,,,,,
1.25,Peperomia obtusifolia,fast,98.27,,,,,,,,,,
1.33,Peperomia obtusifolia,fast,98.66,,,,,,,,,,
1.41,Peperomia obtusifolia,fast,98.85,,,,,,,,,,
1.5,Peperomia obtusifolia,fast,98.94,,,,,,,,,,
1.58,Peperomia obtusifolia,fast,99.42,,,,,,,,,,
1.67,Peperomia obtusifolia,fast,99.42,,,,,,,,,,
1.75,Peperomia obtusifolia,fast,99.62,,,,,,,,,,
1.83,Peperomia obtusifolia,fast,100,,,,,,,,,,
1.92,Peperomia obtusifolia,fast,99.9,,,,,,,,,,
2,Peperomia obtusifolia,fast,99.9,,,,,,,,,,
2.08,Peperomia obtusifolia,fast,99.9,,,,,,,,,,
2.16,Peperomia obtusifolia,fast,100,,,,,,,,,,
2.25,Peperomia obtusifolia,fast,99.71,,,,,,,,,,
2.33,Peperomia obtusifolia,fast,99.81,,,,,,,,,,
2.41,Peperomia obtusifolia,fast,99.42,,,,,,,,,,
2.5,Peperomia obtusifolia,fast,99.52,,,,,,,,,,
2.58,Peperomia obtusifolia,fast,98.85,,,,,,,,,,
2.66,Peperomia obtusifolia,fast,98.66,,,,,,,,,,
2.75,Peperomia obtusifolia,fast,98.46,,,,,,,,,,
2.83,Peperomia obtusifolia,fast,98.66,,,,,,,,,,
2.91,Peperomia obtusifolia,fast,98.08,,,,,,,,,,
3,Peperomia obtusifolia,fast,98.27,,,,,,,,,,
0,Peperomia obtusifolia,fast,0.63,,,,,,,,,,
0.083,Peperomia obtusifolia,fast,51.25,,,,,,,,,,
0.17,Peperomia obtusifolia,fast,86.36,,,,,,,,,,
0.25,Peperomia obtusifolia,fast,94.2,,,,,,,,,,
0.33,Peperomia obtusifolia,fast,96.55,,,,,,,,,,
0.42,Peperomia obtusifolia,fast,97.34,,,,,,,,,,
0.5,Peperomia obtusifolia,fast,98.12,,,,,,,,,,
0.58,Peperomia obtusifolia,fast,98.59,,,,,,,,,,
0.66,Peperomia obtusifolia,fast,99.22,,,,,,,,,,
0.75,Peperomia obtusifolia,fast,99.37,,,,,,,,,,
0.83,Peperomia obtusifolia,fast,99.37,,,,,,,,,,
0.91,Peperomia obtusifolia,fast,100,,,,,,,,,,
1,Peperomia obtusifolia,fast,100,,,,,,,,,,
1.08,Peperomia obtusifolia,fast,99.69,,,,,,,,,,
1.16,Peperomia obtusifolia,fast,99.69,,,,,,,,,,
1.25,Peperomia obtusifolia,fast,100,,,,,,,,,,
1.33,Peperomia obtusifolia,fast,100,,,,,,,,,,
1.41,Peperomia obtusifolia,fast,100,,,,,,,,,,
1.5,Peperomia obtusifolia,fast,100,,,,,,,,,,
1.58,Peperomia obtusifolia,fast,100,,,,,,,,,,
1.67,Peperomia obtusifolia,fast,100,,,,,,,,,,
1.75,Peperomia obtusifolia,fast,100,,,,,,,,,,
1.83,Peperomia obtusifolia,fast,100,,,,,,,,,,
1.92,Peperomia obtusifolia,fast,100,,,,,,,,,,
2,Peperomia obtusifolia,fast,100,,,,,,,,,,
2.08,Peperomia obtusifolia,fast,100,,,,,,,,,,
2.16,Peperomia obtusifolia,fast,100,,,,,,,,,,
2.25,Peperomia obtusifolia,fast,100,,,,,,,,,,
2.33,Peperomia obtusifolia,fast,100,,,,,,,,,,
2.41,Peperomia obtusifolia,fast,100,,,,,,,,,,
2.5,Peperomia obtusifolia,fast,100,,,,,,,,,,
2.58,Peperomia obtusifolia,fast,100,,,,,,,,,,
2.66,Peperomia obtusifolia,fast,100,,,,,,,,,,
2.75,Peperomia obtusifolia,fast,100,,,,,,,,,,
2.83,Peperomia obtusifolia,fast,100,,,,,,,,,,
2.91,Peperomia obtusifolia,fast,100,,,,,,,,,,
3,Peperomia obtusifolia,fast,100,,,,,,,,,,
0,Substrate only,fast,7.117852975,,,,,,,,,,
0.083,Substrate only,fast,33.02217036,,,,,,,,,,
0.17,Substrate only,fast,53.79229872,,,,,,,,,,
0.25,Substrate only,fast,59.15985998,,,,,,,,,,
0.33,Substrate only,fast,77.01283547,,,,,,,,,,
0.42,Substrate only,fast,85.29754959,,,,,,,,,,
0.5,Substrate only,fast,89.14819137,,,,,,,,,,
0.58,Substrate only,fast,91.831972,,,,,,,,,,
0.66,Substrate only,fast,93.34889148,,,,,,,,,,
0.75,Substrate only,fast,94.2823804,,,,,,,,,,
0.83,Substrate only,fast,95.0991832,,,,,,,,,,
0.91,Substrate only,fast,96.14935823,,,,,,,,,,
1,Substrate only,fast,96.96616103,,,,,,,,,,
1.08,Substrate only,fast,97.19953326,,,,,,,,,,
1.16,Substrate only,fast,97.66627771,,,,,,,,,,
1.25,Substrate only,fast,98.3663944,,,,,,,,,,
1.33,Substrate only,fast,99.41656943,,,,,,,,,,
1.41,Substrate only,fast,100,,,,,,,,,,
1.5,Substrate only,fast,100,,,,,,,,,,
1.58,Substrate only,fast,100,,,,,,,,,,
1.67,Substrate only,fast,100,,,,,,,,,,
1.75,Substrate only,fast,100,,,,,,,,,,
1.83,Substrate only,fast,100,,,,,,,,,,
1.92,Substrate only,fast,100,,,,,,,,,,
2,Substrate only,fast,100,,,,,,,,,,
2.08,Substrate only,fast,100,,,,,,,,,,
2.16,Substrate only,fast,100,,,,,,,,,,
2.25,Substrate only,fast,100,,,,,,,,,,
2.33,Substrate only,fast,100,,,,,,,,,,
2.41,Substrate only,fast,100,,,,,,,,,,
2.5,Substrate only,fast,100,,,,,,,,,,
2.58,Substrate only,fast,100,,,,,,,,,,
2.66,Substrate only,fast,100,,,,,,,,,,
2.75,Substrate only,fast,100,,,,,,,,,,
2.83,Substrate only,fast,100,,,,,,,,,,
2.91,Substrate only,fast,100,,,,,,,,,,
3,Substrate only,fast,100,,,,,,,,,,
0,Substrate only,fast,0,,,,,,,,,,
0.083,Substrate only,fast,0.516795866,,,,,,,,,,
0.17,Substrate only,fast,18.0878553,,,,,,,,,,
0.25,Substrate only,fast,50.64599483,,,,,,,,,,
0.33,Substrate only,fast,59.43152455,,,,,,,,,,
0.42,Substrate only,fast,61.11111111,,,,,,,,,,
0.5,Substrate only,fast,71.57622739,,,,,,,,,,
0.58,Substrate only,fast,76.74418605,,,,,,,,,,
0.66,Substrate only,fast,80.36175711,,,,,,,,,,
0.75,Substrate only,fast,85.27131783,,,,,,,,,,
0.83,Substrate only,fast,89.27648579,,,,,,,,,,
0.91,Substrate only,fast,90.69767442,,,,,,,,,,
1,Substrate only,fast,93.41085271,,,,,,,,,,
1.08,Substrate only,fast,94.83204134,,,,,,,,,,
1.16,Substrate only,fast,97.41602067,,,,,,,,,,
1.25,Substrate only,fast,100,,,,,,,,,,
1.33,Substrate only,fast,96.89922481,,,,,,,,,,
1.41,Substrate only,fast,100,,,,,,,,,,
1.5,Substrate only,fast,100,,,,,,,,,,
1.58,Substrate only,fast,100,,,,,,,,,,
1.67,Substrate only,fast,100,,,,,,,,,,
1.75,Substrate only,fast,100,,,,,,,,,,
1.83,Substrate only,fast,100,,,,,,,,,,
1.92,Substrate only,fast,100,,,,,,,,,,
2,Substrate only,fast,100,,,,,,,,,,
2.08,Substrate only,fast,100,,,,,,,,,,
2.16,Substrate only,fast,100,,,,,,,,,,
2.25,Substrate only,fast,100,,,,,,,,,,
2.33,Substrate only,fast,100,,,,,,,,,,
2.41,Substrate only,fast,100,,,,,,,,,,
2.5,Substrate only,fast,100,,,,,,,,,,
2.58,Substrate only,fast,100,,,,,,,,,,
2.66,Substrate only,fast,100,,,,,,,,,,
2.75,Substrate only,fast,100,,,,,,,,,,
2.83,Substrate only,fast,100,,,,,,,,,,
2.91,Substrate only,fast,100,,,,,,,,,,
3,Substrate only,fast,100,,,,,,,,,,
0,Substrate only,fast,0,,,,,,,,,,
0.083,Substrate only,fast,2.586206897,,,,,,,,,,
0.17,Substrate only,fast,7.004310345,,,,,,,,,,
0.25,Substrate only,fast,16.48706897,,,,,,,,,,
0.33,Substrate only,fast,28.77155172,,,,,,,,,,
0.42,Substrate only,fast,36.63793103,,,,,,,,,,
0.5,Substrate only,fast,48.92241379,,,,,,,,,,
0.58,Substrate only,fast,58.94396552,,,,,,,,,,
0.66,Substrate only,fast,65.40948276,,,,,,,,,,
0.75,Substrate only,fast,71.12068966,,,,,,,,,,
0.83,Substrate only,fast,87.17672414,,,,,,,,,,
0.91,Substrate only,fast,90.625,,,,,,,,,,
1,Substrate only,fast,92.88793103,,,,,,,,,,
1.08,Substrate only,fast,94.82758621,,,,,,,,,,
1.16,Substrate only,fast,96.76724138,,,,,,,,,,
1.25,Substrate only,fast,97.19827586,,,,,,,,,,
1.33,Substrate only,fast,98.16810345,,,,,,,,,,
1.41,Substrate only,fast,99.35344828,,,,,,,,,,
1.5,Substrate only,fast,100,,,,,,,,,,
1.58,Substrate only,fast,100,,,,,,,,,,
1.67,Substrate only,fast,100,,,,,,,,,,
1.75,Substrate only,fast,100,,,,,,,,,,
1.83,Substrate only,fast,100,,,,,,,,,,
1.92,Substrate only,fast,100,,,,,,,,,,
2,Substrate only,fast,100,,,,,,,,,,
2.08,Substrate only,fast,100,,,,,,,,,,
2.16,Substrate only,fast,100,,,,,,,,,,
2.25,Substrate only,fast,100,,,,,,,,,,
2.33,Substrate only,fast,100,,,,,,,,,,
2.41,Substrate only,fast,100,,,,,,,,,,
2.5,Substrate only,fast,100,,,,,,,,,,
2.58,Substrate only,fast,100,,,,,,,,,,
2.66,Substrate only,fast,100,,,,,,,,,,
2.75,Substrate only,fast,100,,,,,,,,,,
2.83,Substrate only,fast,100,,,,,,,,,,
2.91,Substrate only,fast,100,,,,,,,,,,
3,Substrate only,fast,100,,,,,,,,,,
