soil moisture,species,irrigation,velocity
0.7721,Nematanthus wettsteinii,fast,0.933
0.7957,Nematanthus wettsteinii,fast,0.904
0.8232,Nematanthus wettsteinii,fast,0.871
0.8448,Nematanthus wettsteinii,fast,0.876
0.8684,Nematanthus wettsteinii,fast,0.944
0.8939,Nematanthus wettsteinii,fast,0.949
0.9096,Nematanthus wettsteinii,fast,0.966
0.9391,Nematanthus wettsteinii,fast,0.972
0.9568,Nematanthus wettsteinii,fast,0.978
0.9745,Nematanthus wettsteinii,fast,0.983
0.9882,Nematanthus wettsteinii,fast,0.978
1,Nematanthus wettsteinii,fast,0.966
0,Nematanthus wettsteinii,fast,0
0.0905,Nematanthus wettsteinii,fast,0.478
0.1172,Nematanthus wettsteinii,fast,0.687
0.1306,Nematanthus wettsteinii,fast,0.597
0.1543,Nematanthus wettsteinii,fast,0.687
0.1929,Nematanthus wettsteinii,fast,0.761
0.2567,Nematanthus wettsteinii,fast,0.701
0.3145,Nematanthus wettsteinii,fast,0.746
0.3561,Nematanthus wettsteinii,fast,0.537
0.3813,Nematanthus wettsteinii,fast,0.478
0.4139,Nematanthus wettsteinii,fast,0.761
0.4258,Nematanthus wettsteinii,fast,0.836
0.4792,Nematanthus wettsteinii,fast,0.821
0.5,Nematanthus wettsteinii,fast,0.91
0.5208,Nematanthus wettsteinii,fast,0.776
0.5356,Nematanthus wettsteinii,fast,0.881
0.5549,Nematanthus wettsteinii,fast,0.716
0.5697,Nematanthus wettsteinii,fast,1
0.5846,Nematanthus wettsteinii,fast,0.94
0.5979,Nematanthus wettsteinii,fast,0.836
0.6113,Nematanthus wettsteinii,fast,0.851
0.6276,Nematanthus wettsteinii,fast,0.866
0.6424,Nematanthus wettsteinii,fast,0.567
0.6647,Nematanthus wettsteinii,fast,0.836
0.6855,Nematanthus wettsteinii,fast,0.97
0.7033,Nematanthus wettsteinii,fast,0.881
0.7211,Nematanthus wettsteinii,fast,0.896
0.7359,Nematanthus wettsteinii,fast,0.851
0.7552,Nematanthus wettsteinii,fast,0.806
0.7715,Nematanthus wettsteinii,fast,0.746
0.7878,Nematanthus wettsteinii,fast,0.836
0.8086,Nematanthus wettsteinii,fast,0.761
0.8205,Nematanthus wettsteinii,fast,0.746
0.8487,Nematanthus wettsteinii,fast,0.672
0.8932,Nematanthus wettsteinii,fast,0.716
0.954,Nematanthus wettsteinii,fast,0.657
1,Nematanthus wettsteinii,fast,0.851
0.008,Nematanthus wettsteinii,fast,0
0.0304,Nematanthus wettsteinii,fast,0.352
0.2815,Nematanthus wettsteinii,fast,0.556
0.6461,Nematanthus wettsteinii,fast,0.611
0.7274,Nematanthus wettsteinii,fast,0.593
0.765,Nematanthus wettsteinii,fast,0.685
0.8025,Nematanthus wettsteinii,fast,0.667
0.8266,Nematanthus wettsteinii,fast,0.481
0.8436,Nematanthus wettsteinii,fast,0.63
0.8624,Nematanthus wettsteinii,fast,0.741
0.8749,Nematanthus wettsteinii,fast,0.704
0.8865,Nematanthus wettsteinii,fast,0.815
0.8981,Nematanthus wettsteinii,fast,0.852
0.908,Nematanthus wettsteinii,fast,0.704
0.9169,Nematanthus wettsteinii,fast,0.815
0.9214,Nematanthus wettsteinii,fast,0.574
0.9294,Nematanthus wettsteinii,fast,0.648
0.9374,Nematanthus wettsteinii,fast,0.648
0.9428,Nematanthus wettsteinii,fast,0.593
0.9455,Nematanthus wettsteinii,fast,0.87
0.9517,Nematanthus wettsteinii,fast,0.87
0.958,Nematanthus wettsteinii,fast,0.963
0.9616,Nematanthus wettsteinii,fast,0.926
0.966,Nematanthus wettsteinii,fast,0.944
0.9705,Nematanthus wettsteinii,fast,0.907
0.9732,Nematanthus wettsteinii,fast,0.907
0.9732,Nematanthus wettsteinii,fast,0.685
0.9768,Nematanthus wettsteinii,fast,0.667
0.9768,Nematanthus wettsteinii,fast,0.704
0.9794,Nematanthus wettsteinii,fast,0.907
0.9839,Nematanthus wettsteinii,fast,0.907
0.9866,Nematanthus wettsteinii,fast,0.907
0.9902,Nematanthus wettsteinii,fast,0.889
0.9937,Nematanthus wettsteinii,fast,0.889
0.9982,Nematanthus wettsteinii,fast,0.926
1,Nematanthus wettsteinii,fast,0.907
0.0000,Spathiphyllum Chico,fast,0.368
0.0078,Spathiphyllum Chico,fast,0.632
0.0000,Spathiphyllum Chico,fast,0.737
0.0000,Spathiphyllum Chico,fast,0.737
0.0233,Spathiphyllum Chico,fast,0.737
0.0323,Spathiphyllum Chico,fast,0.632
0.0336,Spathiphyllum Chico,fast,0.632
0.0426,Spathiphyllum Chico,fast,0.632
0.1292,Spathiphyllum Chico,fast,0.526
0.2752,Spathiphyllum Chico,fast,0.632
0.3424,Spathiphyllum Chico,fast,0.579
0.4147,Spathiphyllum Chico,fast,0.632
0.5065,Spathiphyllum Chico,fast,0.579
0.5233,Spathiphyllum Chico,fast,0.526
0.5556,Spathiphyllum Chico,fast,0.632
0.5891,Spathiphyllum Chico,fast,0.526
0.6163,Spathiphyllum Chico,fast,0.526
0.6370,Spathiphyllum Chico,fast,0.526
0.6550,Spathiphyllum Chico,fast,0.526
0.6718,Spathiphyllum Chico,fast,0.526
0.6964,Spathiphyllum Chico,fast,0.579
0.7145,Spathiphyllum Chico,fast,0.526
0.7274,Spathiphyllum Chico,fast,0.579
0.7054,Spathiphyllum Chico,fast,0.526
0.7261,Spathiphyllum Chico,fast,0.526
0.7494,Spathiphyllum Chico,fast,0.579
0.7597,Spathiphyllum Chico,fast,0.526
0.8566,Spathiphyllum Chico,fast,0.579
0.8889,Spathiphyllum Chico,fast,0.579
0.8992,Spathiphyllum Chico,fast,0.526
0.9109,Spathiphyllum Chico,fast,0.579
0.9302,Spathiphyllum Chico,fast,0.526
0.9457,Spathiphyllum Chico,fast,0.526
0.9574,Spathiphyllum Chico,fast,0.526
0.9690,Spathiphyllum Chico,fast,0.526
0.9884,Spathiphyllum Chico,fast,0.526
1.0000,Spathiphyllum Chico,fast,0.579
0.0000,Spathiphyllum Chico,fast,0.750
0.0029,Spathiphyllum Chico,fast,0.938
0.0159,Spathiphyllum Chico,fast,0.563
0.0696,Spathiphyllum Chico,fast,0.813
0.0826,Spathiphyllum Chico,fast,0.625
0.0841,Spathiphyllum Chico,fast,0.625
0.0928,Spathiphyllum Chico,fast,0.563
0.0971,Spathiphyllum Chico,fast,0.625
0.1058,Spathiphyllum Chico,fast,0.500
0.1145,Spathiphyllum Chico,fast,0.438
0.1377,Spathiphyllum Chico,fast,0.375
0.1971,Spathiphyllum Chico,fast,0.375
0.2333,Spathiphyllum Chico,fast,0.375
0.5928,Spathiphyllum Chico,fast,0.313
0.7478,Spathiphyllum Chico,fast,0.250
0.9043,Spathiphyllum Chico,fast,0.250
0.9652,Spathiphyllum Chico,fast,0.188
0.9725,Spathiphyllum Chico,fast,0.188
0.9754,Spathiphyllum Chico,fast,0.063
0.9855,Spathiphyllum Chico,fast,0.063
0.9928,Spathiphyllum Chico,fast,0.000
1.0000,Spathiphyllum Chico,fast,0.438
0.9928,Spathiphyllum Chico,fast,0.250
0.9952,Spathiphyllum Chico,fast,0.188
0.9952,Spathiphyllum Chico,fast,0.313
0.9952,Spathiphyllum Chico,fast,0.250
0.9952,Spathiphyllum Chico,fast,0.063
0.9952,Spathiphyllum Chico,fast,0.188
0.9952,Spathiphyllum Chico,fast,0.188
0.9952,Spathiphyllum Chico,fast,0.125
0.0000,Spathiphyllum Chico,fast,0.286
0.1675,Spathiphyllum Chico,fast,0.714
0.3351,Spathiphyllum Chico,fast,0.857
0.4088,Spathiphyllum Chico,fast,0.857
0.4746,Spathiphyllum Chico,fast,1.000
0.4991,Spathiphyllum Chico,fast,0.857
0.5298,Spathiphyllum Chico,fast,0.857
0.5553,Spathiphyllum Chico,fast,0.714
0.5965,Spathiphyllum Chico,fast,0.571
0.6360,Spathiphyllum Chico,fast,0.429
0.6561,Spathiphyllum Chico,fast,0.571
0.6781,Spathiphyllum Chico,fast,0.429
0.7018,Spathiphyllum Chico,fast,0.429
0.7254,Spathiphyllum Chico,fast,0.429
0.7570,Spathiphyllum Chico,fast,0.571
0.7921,Spathiphyllum Chico,fast,0.286
0.8246,Spathiphyllum Chico,fast,0.429
0.8439,Spathiphyllum Chico,fast,0.429
0.8649,Spathiphyllum Chico,fast,0.571
0.8789,Spathiphyllum Chico,fast,0.429
0.8939,Spathiphyllum Chico,fast,0.571
0.9061,Spathiphyllum Chico,fast,0.571
0.9096,Spathiphyllum Chico,fast,0.571
0.9167,Spathiphyllum Chico,fast,0.429
0.9360,Spathiphyllum Chico,fast,0.429
0.9404,Spathiphyllum Chico,fast,0.429
0.9456,Spathiphyllum Chico,fast,0.571
0.9553,Spathiphyllum Chico,fast,0.429
0.9614,Spathiphyllum Chico,fast,0.429
0.9754,Spathiphyllum Chico,fast,0.286
0.9719,Spathiphyllum Chico,fast,0.286
0.9798,Spathiphyllum Chico,fast,0.286
0.9833,Spathiphyllum Chico,fast,0.286
0.9939,Spathiphyllum Chico,fast,0.286
0.9947,Spathiphyllum Chico,fast,0.143
0.9991,Spathiphyllum Chico,fast,0.286
1.0000,Spathiphyllum Chico,fast,0.143
0.0000,Philodendron hederaceum &Philodendron erubescens,fast,0.250
0.5380,Philodendron hederaceum &Philodendron erubescens,fast,0.950
0.7935,Philodendron hederaceum &Philodendron erubescens,fast,0.900
0.8522,Philodendron hederaceum &Philodendron erubescens,fast,0.400
0.8663,Philodendron hederaceum &Philodendron erubescens,fast,0.450
0.8891,Philodendron hederaceum &Philodendron erubescens,fast,0.500
0.8924,Philodendron hederaceum &Philodendron erubescens,fast,0.700
0.9120,Philodendron hederaceum &Philodendron erubescens,fast,0.800
0.9217,Philodendron hederaceum &Philodendron erubescens,fast,0.750
0.9337,Philodendron hederaceum &Philodendron erubescens,fast,0.800
0.9391,Philodendron hederaceum &Philodendron erubescens,fast,0.750
0.9457,Philodendron hederaceum &Philodendron erubescens,fast,0.750
0.9424,Philodendron hederaceum &Philodendron erubescens,fast,0.800
0.9467,Philodendron hederaceum &Philodendron erubescens,fast,0.650
0.9543,Philodendron hederaceum &Philodendron erubescens,fast,0.650
0.9630,Philodendron hederaceum &Philodendron erubescens,fast,0.650
0.9641,Philodendron hederaceum &Philodendron erubescens,fast,0.000
0.9663,Philodendron hederaceum &Philodendron erubescens,fast,0.100
0.9663,Philodendron hederaceum &Philodendron erubescens,fast,0.050
0.9674,Philodendron hederaceum &Philodendron erubescens,fast,0.050
0.9707,Philodendron hederaceum &Philodendron erubescens,fast,0.050
0.9728,Philodendron hederaceum &Philodendron erubescens,fast,0.100
0.9728,Philodendron hederaceum &Philodendron erubescens,fast,0.100
0.9815,Philodendron hederaceum &Philodendron erubescens,fast,0.100
0.9804,Philodendron hederaceum &Philodendron erubescens,fast,0.050
0.9826,Philodendron hederaceum &Philodendron erubescens,fast,0.100
0.9859,Philodendron hederaceum &Philodendron erubescens,fast,0.050
0.9848,Philodendron hederaceum &Philodendron erubescens,fast,0.100
0.9859,Philodendron hederaceum &Philodendron erubescens,fast,0.150
0.9924,Philodendron hederaceum &Philodendron erubescens,fast,0.100
0.9935,Philodendron hederaceum &Philodendron erubescens,fast,0.100
1.0000,Philodendron hederaceum &Philodendron erubescens,fast,0.100
0.9946,Philodendron hederaceum &Philodendron erubescens,fast,0.100
0.9989,Philodendron hederaceum &Philodendron erubescens,fast,0.150
0.9967,Philodendron hederaceum &Philodendron erubescens,fast,0.150
0.9978,Philodendron hederaceum &Philodendron erubescens,fast,0.150
0.9989,Philodendron hederaceum &Philodendron erubescens,fast,0.200
0.0078,Philodendron hederaceum &Philodendron erubescens,fast,0.432
0.1225,Philodendron hederaceum &Philodendron erubescens,fast,0.760
0.2589,Philodendron hederaceum &Philodendron erubescens,fast,0.016
0.3891,Philodendron hederaceum &Philodendron erubescens,fast,0.552
0.4930,Philodendron hederaceum &Philodendron erubescens,fast,0.912
0.5612,Philodendron hederaceum &Philodendron erubescens,fast,0.928
0.5891,Philodendron hederaceum &Philodendron erubescens,fast,0.936
0.6140,Philodendron hederaceum &Philodendron erubescens,fast,0.928
0.6295,Philodendron hederaceum &Philodendron erubescens,fast,0.952
0.6543,Philodendron hederaceum &Philodendron erubescens,fast,0.944
0.6837,Philodendron hederaceum &Philodendron erubescens,fast,0.928
0.7008,Philodendron hederaceum &Philodendron erubescens,fast,0.952
0.7364,Philodendron hederaceum &Philodendron erubescens,fast,0.944
0.7535,Philodendron hederaceum &Philodendron erubescens,fast,0.976
0.7736,Philodendron hederaceum &Philodendron erubescens,fast,0.968
0.7829,Philodendron hederaceum &Philodendron erubescens,fast,0.960
0.8000,Philodendron hederaceum &Philodendron erubescens,fast,0.960
0.8171,Philodendron hederaceum &Philodendron erubescens,fast,0.960
0.8326,Philodendron hederaceum &Philodendron erubescens,fast,0.968
0.8512,Philodendron hederaceum &Philodendron erubescens,fast,0.944
0.8698,Philodendron hederaceum &Philodendron erubescens,fast,0.952
0.8775,Philodendron hederaceum &Philodendron erubescens,fast,0.960
0.8930,Philodendron hederaceum &Philodendron erubescens,fast,0.360
0.9008,Philodendron hederaceum &Philodendron erubescens,fast,0.376
0.9163,Philodendron hederaceum &Philodendron erubescens,fast,0.368
0.9225,Philodendron hederaceum &Philodendron erubescens,fast,0.360
0.9225,Philodendron hederaceum &Philodendron erubescens,fast,0.368
0.9364,Philodendron hederaceum &Philodendron erubescens,fast,0.376
0.9426,Philodendron hederaceum &Philodendron erubescens,fast,0.368
0.9504,Philodendron hederaceum &Philodendron erubescens,fast,0.368
0.9597,Philodendron hederaceum &Philodendron erubescens,fast,0.376
0.9690,Philodendron hederaceum &Philodendron erubescens,fast,0.384
0.9783,Philodendron hederaceum &Philodendron erubescens,fast,0.384
0.9783,Philodendron hederaceum &Philodendron erubescens,fast,0.376
0.9860,Philodendron hederaceum &Philodendron erubescens,fast,0.384
0.9891,Philodendron hederaceum &Philodendron erubescens,fast,0.384
1.0000,Philodendron hederaceum &Philodendron erubescens,fast,0.368
0.0173,Philodendron hederaceum &Philodendron erubescens,fast,0.323
0.0000,Philodendron hederaceum &Philodendron erubescens,fast,0.031
0.1082,Philodendron hederaceum &Philodendron erubescens,fast,0.077
0.6407,Philodendron hederaceum &Philodendron erubescens,fast,0.108
0.7850,Philodendron hederaceum &Philodendron erubescens,fast,0.246
0.8990,Philodendron hederaceum &Philodendron erubescens,fast,0.169
0.9307,Philodendron hederaceum &Philodendron erubescens,fast,0.092
0.9726,Philodendron hederaceum &Philodendron erubescens,fast,0.154
1.0000,Philodendron hederaceum &Philodendron erubescens,fast,0.154
0.9942,Philodendron hederaceum &Philodendron erubescens,fast,0.215
0.9683,Philodendron hederaceum &Philodendron erubescens,fast,0.200
0.9654,Philodendron hederaceum &Philodendron erubescens,fast,0.200
0.9784,Philodendron hederaceum &Philodendron erubescens,fast,0.646
0.9307,Philodendron hederaceum &Philodendron erubescens,fast,0.600
0.9235,Philodendron hederaceum &Philodendron erubescens,fast,0.646
0.9394,Philodendron hederaceum &Philodendron erubescens,fast,0.585
0.9553,Philodendron hederaceum &Philodendron erubescens,fast,0.615
0.9639,Philodendron hederaceum &Philodendron erubescens,fast,0.508
0.9582,Philodendron hederaceum &Philodendron erubescens,fast,0.462
0.9553,Philodendron hederaceum &Philodendron erubescens,fast,0.446
0.9769,Philodendron hederaceum &Philodendron erubescens,fast,0.385
0.9769,Philodendron hederaceum &Philodendron erubescens,fast,0.492
0.9711,Philodendron hederaceum &Philodendron erubescens,fast,0.738
0.9740,Philodendron hederaceum &Philodendron erubescens,fast,0.523
0.9697,Philodendron hederaceum &Philodendron erubescens,fast,0.538
0.9841,Philodendron hederaceum &Philodendron erubescens,fast,0.585
0.9769,Philodendron hederaceum &Philodendron erubescens,fast,0.631
0.9668,Philodendron hederaceum &Philodendron erubescens,fast,0.631
0.9654,Philodendron hederaceum &Philodendron erubescens,fast,0.600
0.9697,Philodendron hederaceum &Philodendron erubescens,fast,0.492
0.9668,Philodendron hederaceum &Philodendron erubescens,fast,0.615
0.9639,Philodendron hederaceum &Philodendron erubescens,fast,1.000
0.9683,Philodendron hederaceum &Philodendron erubescens,fast,0.831
0.9726,Philodendron hederaceum &Philodendron erubescens,fast,0.615
0.9769,Philodendron hederaceum &Philodendron erubescens,fast,0.600
0.9841,Philodendron hederaceum &Philodendron erubescens,fast,0.615
0.0000,Peperomia obtusifolia,fast,0.889
0.1004,Peperomia obtusifolia,fast,0.741
0.2120,Peperomia obtusifolia,fast,0.852
0.2524,Peperomia obtusifolia,fast,0.926
0.2999,Peperomia obtusifolia,fast,0.889
0.3389,Peperomia obtusifolia,fast,0.926
0.3821,Peperomia obtusifolia,fast,0.852
0.4463,Peperomia obtusifolia,fast,0.926
0.5481,Peperomia obtusifolia,fast,0.852
0.6206,Peperomia obtusifolia,fast,0.852
0.6527,Peperomia obtusifolia,fast,0.963
0.6667,Peperomia obtusifolia,fast,1.000
0.6862,Peperomia obtusifolia,fast,0.815
0.6946,Peperomia obtusifolia,fast,0.926
0.7838,Peperomia obtusifolia,fast,0.704
0.7852,Peperomia obtusifolia,fast,0.667
0.7894,Peperomia obtusifolia,fast,0.815
0.7992,Peperomia obtusifolia,fast,0.704
0.8061,Peperomia obtusifolia,fast,0.741
0.8145,Peperomia obtusifolia,fast,0.778
0.8340,Peperomia obtusifolia,fast,0.815
0.8382,Peperomia obtusifolia,fast,0.778
0.8522,Peperomia obtusifolia,fast,0.778
0.8717,Peperomia obtusifolia,fast,0.815
0.8842,Peperomia obtusifolia,fast,0.815
0.8982,Peperomia obtusifolia,fast,0.704
0.9135,Peperomia obtusifolia,fast,0.815
0.9261,Peperomia obtusifolia,fast,0.815
0.9372,Peperomia obtusifolia,fast,0.037
0.9498,Peperomia obtusifolia,fast,0.074
0.9568,Peperomia obtusifolia,fast,0.037
0.9637,Peperomia obtusifolia,fast,0.074
0.9749,Peperomia obtusifolia,fast,0.074
0.9833,Peperomia obtusifolia,fast,0.074
0.9847,Peperomia obtusifolia,fast,0.074
0.9958,Peperomia obtusifolia,fast,0.037
1.0000,Peperomia obtusifolia,fast,0.037
0.0000,Peperomia obtusifolia,fast,0.286
0.0038,Peperomia obtusifolia,fast,0.286
0.8167,Peperomia obtusifolia,fast,0.500
0.9319,Peperomia obtusifolia,fast,0.500
0.9376,Peperomia obtusifolia,fast,0.643
0.9424,Peperomia obtusifolia,fast,0.643
0.9463,Peperomia obtusifolia,fast,0.714
0.9511,Peperomia obtusifolia,fast,0.929
0.9559,Peperomia obtusifolia,fast,0.929
0.9616,Peperomia obtusifolia,fast,0.714
0.9664,Peperomia obtusifolia,fast,0.714
0.9683,Peperomia obtusifolia,fast,1.000
0.9750,Peperomia obtusifolia,fast,0.714
0.9750,Peperomia obtusifolia,fast,0.714
0.9789,Peperomia obtusifolia,fast,0.786
0.9827,Peperomia obtusifolia,fast,0.786
0.9866,Peperomia obtusifolia,fast,0.786
0.9885,Peperomia obtusifolia,fast,0.786
0.9894,Peperomia obtusifolia,fast,0.786
0.9942,Peperomia obtusifolia,fast,0.786
0.9942,Peperomia obtusifolia,fast,0.786
0.9962,Peperomia obtusifolia,fast,0.714
1.0000,Peperomia obtusifolia,fast,0.714
0.9990,Peperomia obtusifolia,fast,0.857
0.9990,Peperomia obtusifolia,fast,0.857
0.9990,Peperomia obtusifolia,fast,0.714
1.0000,Peperomia obtusifolia,fast,0.714
0.9971,Peperomia obtusifolia,fast,0.929
0.9981,Peperomia obtusifolia,fast,0.929
0.9942,Peperomia obtusifolia,fast,0.714
0.9952,Peperomia obtusifolia,fast,0.786
0.9885,Peperomia obtusifolia,fast,0.786
0.9866,Peperomia obtusifolia,fast,0.714
0.9846,Peperomia obtusifolia,fast,0.786
0.9866,Peperomia obtusifolia,fast,0.786
0.9808,Peperomia obtusifolia,fast,0.714
0.9827,Peperomia obtusifolia,fast,0.714
0.0063,Peperomia obtusifolia,fast,0.357
0.5125,Peperomia obtusifolia,fast,0.214
0.8636,Peperomia obtusifolia,fast,0.286
0.9420,Peperomia obtusifolia,fast,0.500
0.9655,Peperomia obtusifolia,fast,0.643
0.9734,Peperomia obtusifolia,fast,0.786
0.9812,Peperomia obtusifolia,fast,0.714
0.9859,Peperomia obtusifolia,fast,0.786
0.9922,Peperomia obtusifolia,fast,0.857
0.9937,Peperomia obtusifolia,fast,0.857
0.9937,Peperomia obtusifolia,fast,0.786
1.0000,Peperomia obtusifolia,fast,1.000
1.0000,Peperomia obtusifolia,fast,1.000
0.9969,Peperomia obtusifolia,fast,0.929
0.9969,Peperomia obtusifolia,fast,0.786
